customer_id,dish_id,created_at,updated_at
1,168,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
1,45,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
1,206,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
1,49,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
2,166,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
2,128,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
2,4,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
2,134,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
3,169,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
3,155,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
3,6,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
4,61,2025-07-14 13:13:13.811597,2025-07-14 13:13:13.811597
5,160,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
5,61,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
5,152,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
5,189,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
6,79,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
6,233,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
6,192,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
6,213,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
7,42,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
7,229,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
8,104,2025-09-11 14:11:51.925766,2025-09-11 14:11:51.925766
9,227,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
9,60,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
9,106,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
10,233,2025-10-24 17:13:25.917354,2025-10-24 17:13:25.917354
11,234,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
11,30,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
11,237,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
11,158,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
12,112,2025-11-13 20:31:06.513297,2025-11-13 20:31:06.513297
13,33,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
13,31,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
13,36,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
14,93,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
14,70,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
14,216,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
14,192,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
15,42,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
15,69,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
15,179,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
15,61,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
16,66,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
16,115,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
16,2,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
16,12,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
17,195,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
17,118,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
17,127,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
17,236,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
17,178,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
18,58,2025-07-28 16:24:44.150057,2025-07-28 16:24:44.150057
18,17,2025-07-28 16:24:44.150057,2025-07-28 16:24:44.150057
19,35,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
19,52,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
20,23,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
20,206,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
21,72,2025-11-11 19:10:42.107217,2025-11-11 19:10:42.107217
22,165,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,122,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,155,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,74,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,114,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
23,90,2025-05-31 22:17:36.101599,2025-05-31 22:17:36.101599
24,196,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
24,164,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
24,214,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
25,95,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
25,243,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
25,124,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
25,116,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
26,212,2025-08-27 08:32:33.310194,2025-08-27 08:32:33.310194
27,199,2025-05-19 15:52:04.747838,2025-05-19 15:52:04.747838
27,125,2025-05-19 15:52:04.747838,2025-05-19 15:52:04.747838
28,231,2025-09-25 15:11:56.996567,2025-09-25 15:11:56.996567
29,138,2025-08-13 11:38:28.658437,2025-08-13 11:38:28.658437
30,112,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
30,246,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
