id,customer_id,driver_id,restaurant_id,delivery_location_id,status,remark,total_amount,driver_fee,created_at,updated_at
1,1,,113,1,rejected,,107.99,9.18,2025-11-13 20:45:40.436468,2025-11-13 20:45:40.436468
2,1,103,118,1,success,Officer white personal education.,35.53,3.82,2025-10-20 18:03:41.825633,2025-10-20 18:03:41.825633
3,1,95,118,1,delivered,,187.45,21.48,2025-10-23 23:57:25.200783,2025-10-23 23:57:25.200783
4,1,96,122,1,preparing,,181.91,20.72,2025-10-22 01:30:04.047161,2025-10-22 01:30:04.047161
5,2,87,116,2,rejected,,73.95,7.65,2025-11-05 22:59:22.443268,2025-11-05 22:59:22.443268
6,2,105,121,4,delivered,Guy simply compare green value it may whether sort part.,34.58,3.16,2025-10-22 10:05:18.062623,2025-10-22 10:05:18.062623
7,2,,109,4,preparing,,45.35,4.53,2025-10-24 08:56:40.444336,2025-10-24 08:56:40.444336
8,2,83,113,3,preparing,Strong hope yourself draw decide today city since economic later.,80.46,9.53,2025-10-26 11:28:49.005242,2025-10-26 11:28:49.005242
9,3,,119,5,success,,42.86,5.14,2025-10-18 21:43:00.587201,2025-10-18 21:43:00.587201
10,3,,114,6,preparing,Cultural civil window well forward.,197.03,22.53,2025-10-19 13:20:10.274841,2025-10-19 13:20:10.274841
11,3,94,118,7,pending,,121.57,9.55,2025-10-24 02:17:58.365149,2025-10-24 02:17:58.365149
12,3,95,120,7,pending,,110.13,12.57,2025-10-06 23:17:57.428497,2025-10-06 23:17:57.428497
13,4,99,112,8,delivered,,78.48,9.62,2025-10-15 17:57:53.997702,2025-10-15 17:57:53.997702
14,4,,120,8,delivered,Over western man such budget.,44.07,4.05,2025-10-16 17:06:18.308355,2025-10-16 17:06:18.308355
15,4,105,111,8,pending,,16.27,1.61,2025-11-08 23:13:36.944900,2025-11-08 23:13:36.944900
16,4,103,110,8,rejected,Run soon any expert TV.,205.48,23.41,2025-10-02 10:43:46.437971,2025-10-02 10:43:46.437971
17,5,105,109,9,preparing,Project able democratic best central three.,77.22,10.04,2025-10-20 19:00:53.538143,2025-10-20 19:00:53.538143
