order_id,dish_id,amount,remark,created_at,updated_at
1,107,1,,2025-11-13 20:45:40.436468,2025-11-13 20:45:40.436468
1,119,2,,2025-11-13 20:45:40.436468,2025-11-13 20:45:40.436468
1,112,3,,2025-11-13 20:45:40.436468,2025-11-13 20:45:40.436468
2,186,1,,2025-10-20 18:03:41.825633,2025-10-20 18:03:41.825633
3,189,3,,2025-10-23 23:57:25.200783,2025-10-23 23:57:25.200783
3,192,1,,2025-10-23 23:57:25.200783,2025-10-23 23:57:25.200783
3,184,3,,2025-10-23 23:57:25.200783,2025-10-23 23:57:25.200783
4,241,3,,2025-10-22 01:30:04.047161,2025-10-22 01:30:04.047161
4,237,3,,2025-10-22 01:30:04.047161,2025-10-22 01:30:04.047161
5,150,2,,2025-11-05 22:59:22.443268,2025-11-05 22:59:22.443268
5,160,3,,2025-11-05 22:59:22.443268,2025-11-05 22:59:22.443268
6,224,1,,2025-10-22 10:05:18.062623,2025-10-22 10:05:18.062623
7,57,1,,2025-10-24 08:56:40.444336,2025-10-24 08:56:40.444336
7,51,3,,2025-10-24 08:56:40.444336,2025-10-24 08:56:40.444336
8,103,2,,2025-10-26 11:28:49.005242,2025-10-26 11:28:49.005242
8,116,1,,2025-10-26 11:28:49.005242,2025-10-26 11:28:49.005242
9,203,1,,2025-10-18 21:43:00.587201,2025-10-18 21:43:00.587201
10,130,2,,2025-10-19 13:20:10.274841,2025-10-19 13:20:10.274841
10,121,3,,2025-10-19 13:20:10.274841,2025-10-19 13:20:10.274841
10,122,1,,2025-10-19 13:20:10.274841,2025-10-19 13:20:10.274841
11,185,2,,2025-10-24 02:17:58.365149,2025-10-24 02:17:58.365149
11,192,2,,2025-10-24 02:17:58.365149,2025-10-24 02:17:58.365149
12,215,3,,2025-10-06 23:17:57.428497,2025-10-06 23:17:57.428497
12,205,3,,2025-10-06 23:17:57.428497,2025-10-06 23:17:57.428497
13,94,1,,2025-10-15 17:57:53.997702,2025-10-15 17:57:53.997702
13,91,3,,2025-10-15 17:57:53.997702,2025-10-15 17:57:53.997702
14,205,1,,2025-10-16 17:06:18.308355,2025-10-16 17:06:18.308355
14,218,3,,2025-10-16 17:06:18.308355,2025-10-16 17:06:18.308355
15,78,1,,2025-11-08 23:13:36.944900,2025-11-08 23:13:36.944900
16,61,2,,2025-10-02 10:43:46.437971,2025-10-02 10:43:46.437971
16,66,1,,2025-10-02 10:43:46.437971,2025-10-02 10:43:46.437971
16,68,2,,2025-10-02 10:43:46.437971,2025-10-02 10:43:46.437971
17,51,1,,2025-10-20 19:00:53.538143,2025-10-20 19:00:53.538143
17,49,3,,2025-10-20 19:00:53.538143,2025-10-20 19:00:53.538143
18,211,1,,2025-11-07 10:12:29.095783,2025-11-07 10:12:29.095783
18,209,1,,2025-11-07 10:12:29.095783,2025-11-07 10:12:29.095783
19,156,3,,2025-10-19 00:54:28.598046,2025-10-19 00:54:28.598046
20,193,1,,2025-10-28 07:06:10.632750,2025-10-28 07:06:10.632750
20,183,2,,2025-10-28 07:06:10.632750,2025-10-28 07:06:10.632750
21,71,1,,2025-10-25 22:18:52.559630,2025-10-25 22:18:52.559630
21,67,2,,2025-10-25 22:18:52.559630,2025-10-25 22:18:52.559630
22,25,2,,2025-11-07 21:09:11.405493,2025-11-07 21:09:11.405493
23,33,3,,2025-10-28 04:47:09.351666,2025-10-28 04:47:09.351666
23,32,3,,2025-10-28 04:47:09.351666,2025-10-28 04:47:09.351666
23,35,3,,2025-10-28 04:47:09.351666,2025-10-28 04:47:09.351666
24,201,3,,2025-10-30 05:54:20.437531,2025-10-30 05:54:20.437531
25,231,1,,2025-10-05 16:55:56.896317,2025-10-05 16:55:56.896317
25,234,3,,2025-10-05 16:55:56.896317,2025-10-05 16:55:56.896317
26,231,1,,2025-11-02 20:30:15.188359,2025-11-02 20:30:15.188359
26,228,2,,2025-11-02 20:30:15.188359,2025-11-02 20:30:15.188359
27,1,2,,2025-10-28 02:47:50.321090,2025-10-28 02:47:50.321090
28,199,2,,2025-10-30 20:28:26.581308,2025-10-30 20:28:26.581308
29,84,2,,2025-10-20 05:17:03.230494,2025-10-20 05:17:03.230494
30,216,3,,2025-10-14 06:55:58.221228,2025-10-14 06:55:58.221228
31,247,1,,2025-10-09 10:57:47.647476,2025-10-09 10:57:47.647476
32,187,2,,2025-10-31 16:07:43.287329,2025-10-31 16:07:43.287329
32,184,2,,2025-10-31 16:07:43.287329,2025-10-31 16:07:43.287329
32,186,1,,2025-10-31 16:07:43.287329,2025-10-31 16:07:43.287329
33,240,1,,2025-10-13 00:27:49.511886,2025-10-13 00:27:49.511886
33,242,3,,2025-10-13 00:27:49.511886,2025-10-13 00:27:49.511886
34,110,2,,2025-11-06 07:44:40.102430,2025-11-06 07:44:40.102430
34,112,2,,2025-11-06 07:44:40.102430,2025-11-06 07:44:40.102430
