id,customer_id,reported_id,reason,detail,associated_image,created_at,updated_at
1,63,61,other,"Themselves head mother surface. Door enjoy as ground.
Strategy fight matter production kid.",{},2025-10-01 18:48:20.349270,2025-10-01 18:48:20.349270
2,75,32,spoiled food,National drive media mother. Understand that small lawyer of. Customer item interest turn here. Set around laugh sound happen.,{},2025-10-20 21:52:13.369214,2025-10-20 21:52:13.369214
3,73,108,late delivery,"Or local short of. Finish country nation class.
Light age concern teach last.","{""https://picsum.photos/419/71""}",2025-10-24 09:05:04.620672,2025-10-24 09:05:04.620672
4,43,2,other,Daughter student explain during indeed.,{},2025-10-12 13:42:42.146869,2025-10-12 13:42:42.146869
5,54,110,spoiled food,What could nearly understand language. Pick fly goal throughout.,"{""https://picsum.photos/761/693""}",2025-10-12 18:56:34.637693,2025-10-12 18:56:34.637693
6,5,64,other,Family federal probably despite. Participant example suggest base could dream detail us. Body marriage fly change new throughout.,"{""https://placekitten.com/336/602""}",2025-09-25 10:20:11.451606,2025-09-25 10:20:11.451606
7,66,77,other,Bank service artist station woman.,"{""https://dummyimage.com/426x186"",""https://dummyimage.com/631x398""}",2025-11-01 05:54:53.517546,2025-11-01 05:54:53.517546
8,30,93,late delivery,"Other kind behind maybe. Dark soon its might admit.
Way prevent trip official. Those give word eight social ask product.",{},2025-11-02 22:27:40.377090,2025-11-02 22:27:40.377090
9,55,75,late delivery,Religious political three experience grow often. Green international however continue move seem.,"{""https://dummyimage.com/565x866""}",2025-11-07 09:35:44.341700,2025-11-07 09:35:44.341700
10,35,116,other,Measure property idea stand himself. Save to owner recently focus. High official drug section human.,"{""https://placekitten.com/87/237"",""https://dummyimage.com/37x468""}",2025-10-16 02:13:55.565293,2025-10-16 02:13:55.565293
11,61,15,spoiled food,Clearly loss already do choice painting toward. Crime billion make. Such happen purpose manage.,"{""https://placekitten.com/189/128""}",2025-09-27 12:32:49.653487,2025-09-27 12:32:49.653487
12,58,91,late delivery,Research move reduce suffer safe prove may suddenly. Have somebody remember whether.,"{""https://placekitten.com/875/96""}",2025-11-09 23:30:51.502607,2025-11-09 23:30:51.502607
