id,verification_status,is_available,name,banner,fee_rate,location_id,detail,tel,created_at,updated_at
106,approved,True,Barron-Gordon,https://dummyimage.com/423x722,0.2,177,Debate effort mention history by respond. Answer recognize term condition. Either theory state race.,001-376-951-8418x804,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
107,approved,True,Wilkinson-Suarez,https://placekitten.com/635/64,0.2,178,"Artist never remember newspaper four. Risk glass good need.
Experience shoulder lead. Person one so certain meeting sort any choice.",267.438.6398x77393,2025-07-01 05:26:32.020775,2025-07-01 05:26:32.020775
108,approved,True,"Barnes, Sanchez and Branch",https://placekitten.com/1014/627,0.17,179,"Long method what us hotel spring forward assume. Professional name effort college really.
Program also score.",+1-389-212-1227,2025-07-06 01:54:33.766083,2025-07-06 01:54:33.766083
109,approved,True,Walker-Perkins,https://dummyimage.com/830x633,0.22,180,"Wonder some measure reality free. Read population bank plan adult put. Blood pressure process become hair pick no.
Whom care sense see us heart.",(859)532-9775x375,2025-06-14 07:00:42.336730,2025-06-14 07:00:42.336730
110,approved,True,Hall-Price,https://placekitten.com/619/927,0.11,181,State term second always common.,+1-681-831-2228x9456,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
111,approved,True,Hubbard Inc,https://placekitten.com/579/307,0.13,182,Crime current effect pretty later glass person. Rock next more TV sister box. Still president base receive picture guess six.,976-929-2828,2025-05-29 00:35:14.100977,2025-05-29 00:35:14.100977
112,approved,True,"Hill, Fitzgerald and Wheeler",https://picsum.photos/769/46,0.2,183,Trade mention game. Condition thank join sometimes establish level. They where consider form money student finally.,001-898-859-4285,2025-06-11 09:02:21.968313,2025-06-11 09:02:21.968313
113,approved,True,"Moody, Newman and Miller",https://dummyimage.com/176x249,0.15,184,True set she purpose let behavior no. Maintain whom ready black increase significant improve trade.,543.741.2232x7013,2025-10-14 16:43:59.184391,2025-10-14 16:43:59.184391
114,approved,True,Shepard-Mueller,https://picsum.photos/798/439,0.19,185,"Day candidate old increase. Include team executive pass. Heavy spring page.
Yet behavior dream great. Star common ahead too team surface.",835-701-6989x2221,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
115,approved,True,"Brooks, Duarte and Rodriguez",https://dummyimage.com/359x16,0.17,186,"Mouth compare firm so film rule. Forget central movement country bag tax marriage.
High play recent seem seem very itself.",+1-209-223-2875,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
116,approved,True,"Cochran, Brown and Joseph",https://picsum.photos/829/725,0.18,187,Outside buy hotel little deep movement very. Floor growth free participant possible glass.,458.902.5371,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
117,approved,True,"Brown, Gonzalez and Clark",https://dummyimage.com/950x388,0.16,188,"Level option leg. Activity program degree.
Safe drug sometimes home likely. Every answer design field part we.",567.297.4276x28784,2025-10-25 07:16:16.019063,2025-10-25 07:16:16.019063
118,approved,True,"Salinas, Fleming and Anderson",https://placekitten.com/587/478,0.21,189,Challenge miss study likely candidate explain. Company paper western work too. Color very arm five always.,(833)527-2197x9793,2025-09-17 07:34:22.822490,2025-09-17 07:34:22.822490
119,approved,True,Williams-Maldonado,https://dummyimage.com/602x116,0.15,190,"You arm hair exactly. Value seek throughout off contain. Score leave day accept hand.
Economic ahead happy work.",001-836-796-5756x99205,2025-11-08 15:20:49.617506,2025-11-08 15:20:49.617506
120,approved,True,Jimenez Ltd,https://placekitten.com/905/821,0.21,191,Network agree effect tend. Popular together issue fear. Conference run authority shake issue.,+1-455-395-8579x560,2025-05-31 06:29:59.271965,2025-05-31 06:29:59.271965
121,approved,True,Rios Ltd,https://placekitten.com/990/877,0.14,192,"It fine key. Great themselves hear certain include. Actually rich better energy hope.
Late thousand six data. Lawyer save answer environment bed dog property.",326-234-0170x89129,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
122,approved,True,"Cooper, Williams and Rivas",https://dummyimage.com/467x684,0.14,193,Common stand keep hotel near guy energy. Room manage book.,222.687.3839x5644,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
123,approved,True,"Guzman, Mercer and Thompson",https://picsum.photos/612/745,0.12,194,Age a get trouble. Strong anything key spring forget bar quickly. Eye force resource actually model both. Follow table focus.,928-406-9861x906,2025-07-22 12:58:26.245749,2025-07-22 12:58:26.245749
