id,user_id,restaurant_id,order_id,rate,review_text,created_at,updated_at
1,1,118,2,4.7,,2025-10-20 18:03:41.825633,2025-10-20 18:03:41.825633
2,1,118,3,3.6,Then push yeah story. Water ten course our. Film dream cause.,2025-10-23 23:57:25.200783,2025-10-23 23:57:25.200783
3,2,121,6,4.5,Girl after whether whether we term.,2025-10-22 10:05:18.062623,2025-10-22 10:05:18.062623
4,3,119,9,4.4,Example southern interest data. Fill catch matter subject.,2025-10-18 21:43:00.587201,2025-10-18 21:43:00.587201
5,7,121,25,3.9,,2025-10-05 16:55:56.896317,2025-10-05 16:55:56.896317
6,9,109,35,3.2,Since discover stage could address sit.,2025-11-12 04:15:46.871855,2025-11-12 04:15:46.871855
7,11,118,41,4.6,Officer various take step require. Member concern world if where necessary.,2025-11-10 02:03:55.637100,2025-11-10 02:03:55.637100
8,12,116,45,3.2,Something moment choose such with war majority improve.,2025-11-02 11:10:07.548296,2025-11-02 11:10:07.548296
9,12,121,46,5.0,,2025-10-01 14:59:30.012342,2025-10-01 14:59:30.012342
10,14,107,55,4.1,,2025-10-02 02:43:14.949350,2025-10-02 02:43:14.949350
11,16,112,63,3.7,Fear shoulder building available. So your guy behavior career.,2025-11-06 22:35:39.929412,2025-11-06 22:35:39.929412
12,17,106,65,3.9,,2025-11-06 01:11:28.302721,2025-11-06 01:11:28.302721
13,17,114,67,3.8,Most interest number director option market message. Support quite leg yes.,2025-10-22 10:40:06.451898,2025-10-22 10:40:06.451898
14,20,121,79,3.4,,2025-10-16 04:29:50.577654,2025-10-16 04:29:50.577654
15,21,114,81,3.3,,2025-10-18 17:42:01.159154,2025-10-18 17:42:01.159154
16,22,122,85,3.9,Alone art sure win big various college.,2025-10-16 19:23:50.115592,2025-10-16 19:23:50.115592
17,22,106,87,4.3,,2025-11-10 16:24:01.844132,2025-11-10 16:24:01.844132
18,24,116,93,3.8,Leader sure suggest quickly. System north against. Under red couple south.,2025-10-28 23:23:29.733242,2025-10-28 23:23:29.733242
19,24,106,96,3.4,,2025-10-15 05:19:13.147799,2025-10-15 05:19:13.147799
20,25,110,98,3.4,Civil quality Congress song. Should way middle. Last bad almost bit.,2025-11-01 17:05:09.488593,2025-11-01 17:05:09.488593
21,25,123,99,4.3,Important citizen commercial ago art morning. Budget blood draw may party town.,2025-10-06 06:37:15.680184,2025-10-06 06:37:15.680184
22,25,113,100,4.0,Expect method dark suddenly more. Effect cut serious good.,2025-11-04 03:34:59.832848,2025-11-04 03:34:59.832848
23,27,106,105,3.1,,2025-10-11 12:00:41.076506,2025-10-11 12:00:41.076506
24,27,112,106,3.1,Majority body back thus not answer amount grow. Size large media part task.,2025-10-28 05:28:41.741115,2025-10-28 05:28:41.741115
25,28,122,110,3.8,,2025-10-03 05:58:09.151870,2025-10-03 05:58:09.151870
26,28,111,111,3.1,Visit president specific worker on. Audience indicate who actually.,2025-10-17 02:55:37.403048,2025-10-17 02:55:37.403048
27,28,117,112,4.1,Key voice force religious teach near back. Style choose contain.,2025-11-13 19:43:04.022258,2025-11-13 19:43:04.022258
28,32,107,126,3.5,Oil check drive it because involve feel.,2025-11-01 23:24:23.254215,2025-11-01 23:24:23.254215
29,32,111,127,4.7,,2025-10-11 07:59:39.772445,2025-10-11 07:59:39.772445
30,33,114,129,4.6,Base pressure child machine. Reach dog run require reason trial bed itself.,2025-10-20 17:47:50.595653,2025-10-20 17:47:50.595653
31,33,113,130,4.1,Field find not paper clearly. Property give sea recognize help traditional.,2025-10-01 22:52:59.805982,2025-10-01 22:52:59.805982
32,34,111,134,3.5,Cell heart break each. Difference cold middle light push near.,2025-10-17 07:03:23.979189,2025-10-17 07:03:23.979189
33,34,116,135,3.2,Score pretty challenge firm. Back until memory much compare mean.,2025-10-27 15:24:40.124212,2025-10-27 15:24:40.124212
34,35,111,137,3.8,Three street democratic sea. Book unit because across later whose.,2025-10-17 03:40:40.214138,2025-10-17 03:40:40.214138
35,35,114,140,3.1,,2025-10-16 11:07:50.509192,2025-10-16 11:07:50.509192
36,37,112,147,3.0,Believe threat green real. Four fill Mr other art. Upon red want blood.,2025-10-01 12:42:33.752527,2025-10-01 12:42:33.752527
37,39,114,154,4.7,,2025-11-01 16:03:07.739270,2025-11-01 16:03:07.739270
38,39,116,156,3.1,Speak film prevent television former make almost second.,2025-10-14 15:57:22.224391,2025-10-14 15:57:22.224391
39,40,112,157,4.8,,2025-10-14 17:46:54.062892,2025-10-14 17:46:54.062892
40,40,119,160,3.7,Term loss trial just wish eye among.,2025-11-08 00:06:27.487946,2025-11-08 00:06:27.487946
41,41,116,161,3.8,,2025-11-09 01:09:56.410458,2025-11-09 01:09:56.410458
42,41,106,162,3.3,Apply media see your. Short ok choose prevent us allow his us.,2025-10-21 10:54:09.242109,2025-10-21 10:54:09.242109
43,42,122,168,3.7,,2025-10-01 01:23:30.995476,2025-10-01 01:23:30.995476
44,43,111,169,4.2,Line property year spend attack general. Baby inside any national however pick.,2025-10-13 17:21:25.659766,2025-10-13 17:21:25.659766
45,44,108,173,4.4,Including century we myself billion task into. Source western while nature per.,2025-10-24 04:54:59.374041,2025-10-24 04:54:59.374041
46,44,114,174,4.5,,2025-10-10 11:47:34.363571,2025-10-10 11:47:34.363571
47,46,118,181,4.8,,2025-10-28 14:00:31.681970,2025-10-28 14:00:31.681970
