id,restaurant_id,week_day,opening_time,closing_time,created_at,updated_at
1,121,sunday,2025-11-10 09:00:43.904948,2025-11-10 21:00:43.904949,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
2,121,monday,2025-11-10 09:00:43.904952,2025-11-10 21:00:43.904953,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
3,121,tuesday,2025-11-10 09:00:43.904955,2025-11-10 21:00:43.904956,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
4,121,wednesday,2025-11-10 09:00:43.904957,2025-11-10 21:00:43.904958,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
5,121,thursday,2025-11-10 09:00:43.904960,2025-11-10 21:00:43.904961,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
6,121,friday,2025-11-10 09:00:43.904963,2025-11-10 21:00:43.904964,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
7,121,saturday,2025-11-10 09:00:43.904965,2025-11-10 21:00:43.904966,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
8,122,sunday,2025-11-10 09:00:43.905237,2025-11-10 21:00:43.905240,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
9,122,monday,2025-11-10 09:00:43.905242,2025-11-10 21:00:43.905243,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
10,122,tuesday,2025-11-10 09:00:43.905245,2025-11-10 21:00:43.905246,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
11,122,wednesday,2025-11-10 09:00:43.905247,2025-11-10 21:00:43.905248,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
12,122,thursday,2025-11-10 09:00:43.905250,2025-11-10 21:00:43.905251,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
13,122,friday,2025-11-10 09:00:43.905252,2025-11-10 21:00:43.905253,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
14,122,saturday,2025-11-10 09:00:43.905255,2025-11-10 21:00:43.905255,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
15,123,sunday,2025-11-10 09:00:43.905576,2025-11-10 21:00:43.905578,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
16,123,monday,2025-11-10 09:00:43.905579,2025-11-10 21:00:43.905580,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
17,123,tuesday,2025-11-10 09:00:43.905581,2025-11-10 21:00:43.905582,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
18,123,wednesday,2025-11-10 09:00:43.905584,2025-11-10 21:00:43.905585,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
19,123,thursday,2025-11-10 09:00:43.905586,2025-11-10 21:00:43.905587,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
20,123,friday,2025-11-10 09:00:43.905588,2025-11-10 21:00:43.905589,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
21,123,saturday,2025-11-10 09:00:43.905591,2025-11-10 21:00:43.905592,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
22,124,sunday,2025-11-10 09:00:43.905750,2025-11-10 21:00:43.905751,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
23,124,monday,2025-11-10 09:00:43.905753,2025-11-10 21:00:43.905754,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
24,124,tuesday,2025-11-10 09:00:43.905755,2025-11-10 21:00:43.905756,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
25,124,wednesday,2025-11-10 09:00:43.905758,2025-11-10 21:00:43.905759,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
26,124,thursday,2025-11-10 09:00:43.905761,2025-11-10 21:00:43.905762,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
27,124,friday,2025-11-10 09:00:43.905763,2025-11-10 21:00:43.905764,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
28,124,saturday,2025-11-10 09:00:43.905765,2025-11-10 21:00:43.905766,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
29,125,sunday,2025-11-10 09:00:43.905961,2025-11-10 21:00:43.905962,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
30,125,monday,2025-11-10 09:00:43.905964,2025-11-10 21:00:43.905965,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
31,125,tuesday,2025-11-10 09:00:43.905966,2025-11-10 21:00:43.905967,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
32,125,wednesday,2025-11-10 09:00:43.905968,2025-11-10 21:00:43.905969,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
33,125,thursday,2025-11-10 09:00:43.905971,2025-11-10 21:00:43.905972,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
34,125,friday,2025-11-10 09:00:43.905973,2025-11-10 21:00:43.905974,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
