id,code,amount,value,type,is_empty,created_at,updated_at
1,P4TNU333,94,0.29,percent,False,2025-11-10 15:33:43.990223,2025-11-10 15:33:43.990224
2,IP1GSQ57,175,0.21,percent,False,2025-11-10 15:33:43.990230,2025-11-10 15:33:43.990230
3,BN01D2NR,157,0.13,percent,False,2025-11-10 15:33:43.990234,2025-11-10 15:33:43.990234
4,XLWBN3UO,116,9.92,fixed,False,2025-11-10 15:33:43.990238,2025-11-10 15:33:43.990238
5,DXGG21DR,162,13.95,fixed,False,2025-11-10 15:33:43.990241,2025-11-10 15:33:43.990242
6,WD2Z3Q4Q,178,16.04,fixed,False,2025-11-10 15:33:43.990245,2025-11-10 15:33:43.990246
7,8TJTCTLJ,79,0.24,percent,False,2025-11-10 15:33:43.990249,2025-11-10 15:33:43.990250
8,3RWN79ZD,175,5.95,fixed,False,2025-11-10 15:33:43.990253,2025-11-10 15:33:43.990253
9,7WK1MDR5,156,9.96,fixed,False,2025-11-10 15:33:43.990256,2025-11-10 15:33:43.990256
10,9IUHLVQ7,74,10.86,fixed,False,2025-11-10 15:33:43.990259,2025-11-10 15:33:43.990260
