id,restaurant_id,name,allergy,price,detail,is_out_of_stock,created_at,updated_at
1,121,Pad Thai,,27.98,Way such four prepare mission.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
2,121,California Roll,peanuts,10.21,Onto his Republican challenge.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
3,121,Margherita Pizza,dairy,10.77,Quickly girl drop gas. Case ago movement kitchen high.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
4,121,Filet Mignon,,20.03,About take including easy answer beat.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
5,121,Pad Thai,,11.68,Company foot without set sit.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
6,121,Spaghetti Carbonara,gluten,20.07,Same movement return.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
7,121,Pad Thai,peanuts,13.24,Whatever yeah age political would skin. Exactly hope else.,False,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
8,121,Fried Chicken,,18.84,Expert today history human finally point pretty.,True,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
9,122,Fried Chicken,dairy,10.46,Perform present dinner two more write because choose.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
10,122,Caesar Salad,,21.46,Fund explain thank want interesting attorney family.,True,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
11,122,Green Curry,,28.8,Mind condition director wait market left finally.,True,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
12,122,Spaghetti Carbonara,,20.53,Once which reveal. Help expect produce task.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
13,122,California Roll,,19.9,Little suffer own reach happy run same.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
14,122,Ramen,,16.76,Deep politics think memory member above.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
15,122,Margherita Pizza,gluten,14.44,Off operation site meeting head science.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
16,122,Pad Thai,,18.98,Necessary radio your. All concern data central body.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
17,122,Cheeseburger,,11.03,Media really job administration avoid officer minute.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
18,122,Pad Thai,,29.18,Different suffer thank air.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
19,122,Spaghetti Carbonara,,11.89,By ball speech these large your.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
20,122,Cheeseburger,dairy,12.93,Professional push good happen wind.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
21,122,Fried Chicken,,29.8,Summer protect morning control accept.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
22,122,Ramen,gluten,14.13,Of more thing feel program so front. Loss eight remember.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
23,122,Margherita Pizza,,28.98,Institution hospital response next five cold.,False,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
24,123,Spaghetti Carbonara,,9.76,Author light million role half activity business.,False,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
25,123,Fried Chicken,dairy,12.37,Easy plan almost third only affect whole.,True,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
26,123,Filet Mignon,dairy,19.01,Impact walk us writer always machine sell.,True,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
27,123,Green Curry,,20.48,Reveal movie fight day campaign east agree doctor.,False,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
28,123,Filet Mignon,gluten,7.83,Local lay face couple meet baby college but.,False,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
29,123,Caesar Salad,dairy,25.63,Hair collection go large later.,False,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
30,123,Pad Thai,gluten,20.08,A attack ball should.,True,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
31,123,Caesar Salad,gluten,28.06,Site store these real large mean.,False,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
32,124,Fried Chicken,,23.68,Almost ok word. Stop one cut. Claim I idea.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
33,124,Green Curry,gluten,17.92,Prepare describe lead avoid scene project.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
34,124,Margherita Pizza,dairy,8.85,Miss something raise sound government usually.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
35,124,Pad Thai,,15.23,Pattern cold level only remain heart less.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
36,124,Ramen,dairy,6.31,Yard everything six keep can wife.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
37,124,Spaghetti Carbonara,,23.05,Morning say month music. Town strategy might.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
38,124,California Roll,gluten,18.94,Leave any office hospital responsibility decide start.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
39,124,California Roll,dairy,18.61,Reflect sense week from.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
40,124,California Roll,dairy,14.29,Such without week movie agency.,False,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
41,125,Green Curry,,28.4,Defense democratic memory camera. Property cost indeed.,False,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
