id,latitude,longitude,last_updated_at,created_at,updated_at
101,0.876447,-150.479416,2025-04-15 02:51:32.335779,2025-04-15 02:51:32.335779,2025-04-15 02:51:32.335779
102,-15.4261035,125.651923,2025-02-08 05:16:41.121952,2025-02-08 05:16:41.121952,2025-02-08 05:16:41.121952
103,63.514705,-167.307034,2025-01-24 00:01:19.058289,2025-01-24 00:01:19.058289,2025-01-24 00:01:19.058289
104,-42.077648,-21.42481,2025-03-08 01:02:36.758320,2025-03-08 01:02:36.758320,2025-03-08 01:02:36.758320
105,43.758685,-60.116032,2025-04-15 02:47:29.165758,2025-04-15 02:47:29.165758,2025-04-15 02:47:29.165758
106,-1.180817,-105.811048,2025-10-14 14:53:10.073967,2025-10-14 14:53:10.073967,2025-10-14 14:53:10.073967
107,-58.522365,177.907797,2025-03-31 07:05:10.380754,2025-03-31 07:05:10.380754,2025-03-31 07:05:10.380754
108,-60.2259995,3.110323,2025-09-03 22:12:05.358175,2025-09-03 22:12:05.358175,2025-09-03 22:12:05.358175
109,-19.332084,-41.144242,2025-08-11 02:30:36.229398,2025-08-11 02:30:36.229398,2025-08-11 02:30:36.229398
110,-70.1677315,116.735005,2025-08-14 20:41:25.071840,2025-08-14 20:41:25.071840,2025-08-14 20:41:25.071840
111,8.0429225,-142.67994,2025-03-21 04:46:50.226228,2025-03-21 04:46:50.226228,2025-03-21 04:46:50.226228
112,-16.6452,54.049149,2025-11-04 14:27:44.564171,2025-11-04 14:27:44.564171,2025-11-04 14:27:44.564171
113,-33.142169,146.737452,2025-08-13 11:38:13.689871,2025-08-13 11:38:13.689871,2025-08-13 11:38:13.689871
114,-83.4486285,161.855031,2025-05-03 16:15:00.108153,2025-05-03 16:15:00.108153,2025-05-03 16:15:00.108153
115,-69.366514,-158.663273,2025-08-24 16:30:05.825315,2025-08-24 16:30:05.825315,2025-08-24 16:30:05.825315
116,39.5059335,-96.705066,2025-08-29 07:57:43.044753,2025-08-29 07:57:43.044753,2025-08-29 07:57:43.044753
117,15.83849,80.906988,2025-01-02 14:08:28.528853,2025-01-02 14:08:28.528853,2025-01-02 14:08:28.528853
118,44.988135,-114.344476,2025-04-01 03:32:25.235967,2025-04-01 03:32:25.235967,2025-04-01 03:32:25.235967
119,75.231786,32.465035,2025-08-12 01:46:40.485389,2025-08-12 01:46:40.485389,2025-08-12 01:46:40.485389
120,-35.281251,-153.979119,2025-11-02 09:11:54.191419,2025-11-02 09:11:54.191419,2025-11-02 09:11:54.191419
