order_id,dish_id,amount,remark,created_at,updated_at
1,74,3,,2025-11-10 15:33:43.909189,2025-11-10 15:33:43.909189
1,78,3,,2025-11-10 15:33:43.909191,2025-11-10 15:33:43.909191
1,76,1,,2025-11-10 15:33:43.909193,2025-11-10 15:33:43.909193
2,3,1,,2025-11-10 15:33:43.909319,2025-11-10 15:33:43.909319
3,150,3,,2025-11-10 15:33:43.909455,2025-11-10 15:33:43.909455
3,148,3,,2025-11-10 15:33:43.909456,2025-11-10 15:33:43.909456
4,33,2,,2025-11-10 15:33:43.909579,2025-11-10 15:33:43.909579
4,36,1,,2025-11-10 15:33:43.909580,2025-11-10 15:33:43.909581
4,32,2,,2025-11-10 15:33:43.909582,2025-11-10 15:33:43.909582
5,117,1,,2025-11-10 15:33:43.909608,2025-11-10 15:33:43.909608
5,124,3,,2025-11-10 15:33:43.909609,2025-11-10 15:33:43.909609
6,92,3,,2025-11-10 15:33:43.909941,2025-11-10 15:33:43.909941
6,87,2,,2025-11-10 15:33:43.909942,2025-11-10 15:33:43.909943
6,85,1,,2025-11-10 15:33:43.909944,2025-11-10 15:33:43.909944
7,35,3,,2025-11-10 15:33:43.910091,2025-11-10 15:33:43.910092
7,38,1,,2025-11-10 15:33:43.910093,2025-11-10 15:33:43.910093
8,81,2,,2025-11-10 15:33:43.910234,2025-11-10 15:33:43.910234
8,74,1,,2025-11-10 15:33:43.910236,2025-11-10 15:33:43.910236
9,4,1,,2025-11-10 15:33:43.910379,2025-11-10 15:33:43.910380
10,69,3,,2025-11-10 15:33:43.910490,2025-11-10 15:33:43.910491
10,71,2,,2025-11-10 15:33:43.910492,2025-11-10 15:33:43.910492
11,10,3,,2025-11-10 15:33:43.910712,2025-11-10 15:33:43.910712
11,9,3,,2025-11-10 15:33:43.910713,2025-11-10 15:33:43.910714
12,67,1,,2025-11-10 15:33:43.910834,2025-11-10 15:33:43.910834
13,84,3,,2025-11-10 15:33:43.910942,2025-11-10 15:33:43.910942
14,13,2,,2025-11-10 15:33:43.911069,2025-11-10 15:33:43.911069
14,16,1,,2025-11-10 15:33:43.911070,2025-11-10 15:33:43.911071
15,142,2,,2025-11-10 15:33:43.911206,2025-11-10 15:33:43.911206
15,144,1,,2025-11-10 15:33:43.911207,2025-11-10 15:33:43.911208
15,145,2,,2025-11-10 15:33:43.911209,2025-11-10 15:33:43.911209
16,90,2,,2025-11-10 15:33:43.911542,2025-11-10 15:33:43.911542
17,2,3,,2025-11-10 15:33:43.911661,2025-11-10 15:33:43.911661
18,53,2,,2025-11-10 15:33:43.911769,2025-11-10 15:33:43.911769
18,56,3,,2025-11-10 15:33:43.911770,2025-11-10 15:33:43.911771
18,60,3,,2025-11-10 15:33:43.911772,2025-11-10 15:33:43.911772
19,101,2,,2025-11-10 15:33:43.911899,2025-11-10 15:33:43.911899
19,98,3,,2025-11-10 15:33:43.911900,2025-11-10 15:33:43.911900
20,42,3,,2025-11-10 15:33:43.912004,2025-11-10 15:33:43.912004
20,41,3,,2025-11-10 15:33:43.912005,2025-11-10 15:33:43.912005
20,48,2,,2025-11-10 15:33:43.912006,2025-11-10 15:33:43.912007
21,29,3,,2025-11-10 15:33:43.912370,2025-11-10 15:33:43.912371
